,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,ORCL,ADBE,CRM,CSCO,ACN,INTC,AMD,QCOM,TXN,IBM,NOW,INTU,AMAT,MU,ADI,LRCX,NFLX,DIS,CMCSA,T,VZ,TMUS,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,SPGI,BX,V,MA,PYPL,UNH,JNJ,LLY,PFE,MRK,ABBV,TMO,ABT,DHR,BMY,AMGN,MDT,CVS,GILD,WMT,PG,KO,PEP,COST,MCD,NKE,SBUX,HD,LOW,TGT,BKNG,MDLZ,CL,EL,XOM,CVX,COP,SLB,CAT,BA,GE,HON,UPS,RTX,LMT,DE,MMM,UNP,LIN,FCX,NEE,DUK,BRK-B,F,GM,UBER,ABNB,SHOP,SQ,PLTR,SNOW,COIN
2024-07-30,178.55,198.06,210.13,406.96,353.52,308.95,98.33,501.22,295.74,368.2,308.05,123.12,135.12,125.56,396.58,127.9,460.61,367.92,438.39,274.1,464.46,340.62,289.72,330.87,155.66,123.13,170.51,136.97,121.21,389.1,253.47,268.29,248.39,151.98,324.75,423.47,119.81,176.79,120.56,504.83,385.91,312.16,498.11,219.55,370.78,345.51,46.76,268.09,48.29,360.51,485.37,76.05,193.24,302.09,373.76,118.51,100.31,482.07,334.83,119.27,299.5,224.94,276.45,433.99,379.41,309.19,165.56,307.06,109.98,194.39,201.16,92.59,214.49,380.4,237.18,421.2,61.17,190.41,456.02,160.13,263.94,57.47,483.02,435.51,351.02,106.03,218.82,431.36,135.74,162.22,202.92,207.22,254.35,227.08,292.96,196.73,452.2,341.72,120.62,401.62,264.03
2024-07-31,182.67,205.18,210.78,390.27,352.62,315.14,97.04,497.71,287.45,360.78,312.0,124.12,134.42,130.49,389.07,130.28,471.26,364.09,441.28,273.95,457.74,351.18,274.08,336.92,152.97,124.95,168.75,137.98,119.95,387.68,246.01,268.68,250.55,151.45,322.29,397.49,118.02,177.22,119.71,503.01,387.13,328.04,509.66,219.78,362.27,343.74,47.0,264.83,48.16,356.13,475.57,75.16,193.25,287.81,378.76,120.42,99.46,485.45,333.18,120.44,307.72,217.16,273.76,416.38,373.19,303.52,170.14,303.58,111.97,196.8,210.36,95.08,215.19,375.86,232.97,433.12,60.41,187.3,461.23,159.32,269.43,55.94,519.05,438.72,370.87,108.07,221.26,422.7,135.82,160.37,204.35,200.83,253.38,228.12,297.13,196.55,449.88,341.32,121.1,395.93,275.87
2024-08-01,183.98,201.13,210.43,390.03,344.48,318.51,97.36,488.68,281.03,366.56,315.22,127.47,133.6,129.96,388.82,129.3,474.64,365.02,468.4,281.11,441.2,349.1,274.94,330.36,151.46,126.76,170.84,138.01,122.7,380.73,251.57,268.81,249.35,152.55,342.26,394.98,118.92,175.08,119.11,509.74,398.26,331.16,515.42,221.34,355.86,335.28,46.96,262.28,49.63,376.38,477.99,71.29,196.25,285.96,375.94,114.83,99.24,485.69,330.12,120.71,312.36,211.64,270.6,420.04,364.03,305.64,175.35,305.34,111.76,206.17,218.36,95.34,213.16,375.62,231.26,420.66,59.39,186.61,467.01,154.81,267.87,57.35,504.0,433.21,374.72,108.9,220.45,421.16,134.84,161.33,202.83,205.14,257.95,234.78,297.55,202.18,436.43,346.32,120.28,372.15,284.63
2024-08-02,182.58,199.3,209.1,391.53,347.29,323.37,99.01,468.92,275.0,360.62,322.45,129.1,133.86,130.95,406.18,126.64,477.45,366.28,471.22,279.56,438.86,348.14,282.18,331.45,147.88,126.3,170.17,139.78,119.35,368.39,264.84,268.31,254.17,153.29,352.69,381.49,116.86,176.07,115.41,504.2,411.87,328.54,519.95,218.19,355.62,340.34,47.99,264.35,48.33,376.95,485.8,73.07,196.14,285.34,379.74,110.34,103.2,494.91,332.95,119.48,303.72,221.51,259.72,422.02,372.48,309.5,178.79,304.19,113.13,205.83,213.27,97.22,211.04,379.38,234.71,425.52,58.83,180.93,471.89,154.56,274.9,56.7,504.39,426.38,385.94,108.11,221.5,417.33,134.58,161.11,197.74,202.89,256.07,240.37,295.92,200.76,437.34,339.38,124.4,371.51,282.95
2024-08-05,184.79,192.64,208.69,377.88,348.23,324.69,98.13,469.52,275.64,356.45,324.08,128.27,128.13,128.37,412.98,126.83,471.5,373.76,471.65,278.42,432.81,353.81,270.9,323.02,152.05,134.44,172.87,140.88,118.89,368.38,255.78,268.88,255.17,153.85,354.07,409.11,116.55,176.76,114.44,494.59,416.77,336.45,517.27,219.36,363.03,346.66,48.7,263.79,48.34,380.41,489.71,74.4,194.31,279.83,377.42,111.89,104.09,500.99,322.58,121.35,308.04,223.35,260.87,423.38,351.95,303.47,182.51,317.85,113.7,200.75,214.13,95.36,223.88,379.48,232.93,425.04,58.42,180.98,476.88,157.85,266.49,55.36,510.93,427.15,394.41,107.02,221.77,437.89,135.7,161.33,203.13,197.69,253.57,239.3,304.76,206.4,436.73,351.45,121.75,380.82,268.29
2024-08-06,184.95,198.96,207.64,396.59,350.38,332.72,97.99,483.27,266.92,341.08,329.85,126.98,125.43,128.54,417.7,122.16,470.69,360.22,476.52,276.67,445.35,371.52,266.27,319.14,145.12,135.15,175.05,140.32,116.85,376.66,256.63,270.75,250.75,156.28,350.44,395.87,114.87,177.72,113.94,503.49,410.31,336.56,526.08,216.21,369.25,336.91,46.66,260.45,48.29,393.61,497.68,73.6,197.28,277.67,370.71,110.85,103.54,503.59,326.29,122.08,302.74,214.23,248.2,411.64,359.57,314.61,187.09,317.51,112.36,194.28,212.48,95.89,226.4,378.95,229.78,419.02,59.36,183.66,475.9,163.06,267.22,56.46,509.23,415.11,411.48,107.06,212.61,436.2,138.86,161.43,209.57,195.22,256.21,240.41,304.67,203.91,435.61,356.96,116.82,375.89,270.44
2024-08-07,184.95,203.28,205.03,403.03,359.78,321.66,98.73,486.6,273.22,330.15,325.77,126.3,127.96,130.63,435.78,123.45,452.83,364.21,466.95,272.94,426.7,366.48,279.6,319.02,142.48,129.99,175.14,137.35,114.13,383.59,261.73,266.7,246.63,154.88,346.23,394.1,113.03,172.66,113.06,502.91,428.45,320.34,514.68,213.25,359.84,339.14,47.15,261.08,47.19,386.06,515.79,73.18,198.48,273.34,376.75,110.26,105.83,505.63,326.56,121.23,293.31,219.69,241.44,404.89,356.07,318.8,187.1,317.58,115.42,195.27,209.16,94.88,227.04,376.09,236.38,415.79,58.89,184.87,468.63,162.71,260.72,54.96,511.32,421.8,401.25,107.54,216.03,441.69,141.11,162.9,214.04,197.55,249.17,241.18,317.51,205.56,439.68,357.22,119.69,389.22,266.7
2024-08-08,189.21,200.69,210.21,392.56,368.2,336.11,98.12,491.49,281.98,329.8,318.17,127.87,129.35,129.75,435.34,119.74,440.32,376.16,463.67,275.98,413.97,379.9,270.52,333.24,147.21,129.83,175.74,138.35,117.51,363.14,259.93,265.33,253.23,155.79,350.94,374.62,110.72,168.22,107.43,496.42,426.64,320.54,509.72,208.61,359.63,339.82,46.25,263.33,46.15,395.03,517.79,75.19,191.25,281.26,376.03,112.52,107.35,504.4,329.16,123.25,297.36,231.47,241.33,412.39,362.89,322.1,188.52,317.55,115.41,198.18,212.87,94.73,229.97,376.46,240.76,411.84,59.37,186.43,467.48,164.55,262.06,56.32,515.72,424.02,389.01,108.65,217.19,433.75,142.27,159.28,219.85,198.63,253.8,241.35,320.7,208.62,444.58,349.28,122.74,388.99,268.29
2024-08-09,191.24,205.29,210.55,387.32,366.65,331.57,98.74,493.39,278.03,323.14,315.42,129.34,127.92,132.45,433.95,116.72,457.69,375.28,478.17,270.35,414.24,374.04,270.99,330.35,146.08,127.02,181.04,136.46,116.75,381.63,268.5,261.82,262.17,160.47,360.13,367.83,109.6,168.5,105.18,508.69,432.07,323.75,500.44,211.94,360.02,329.48,45.94,268.65,45.4,385.88,509.1,75.88,192.2,286.23,370.11,112.92,106.51,513.87,332.89,121.7,286.39,247.91,246.47,413.02,351.35,324.63,194.25,317.85,115.68,199.75,201.87,95.91,238.58,378.09,240.25,410.11,59.27,183.96,461.9,164.04,271.62,56.14,539.52,422.03,390.1,106.68,211.93,429.23,146.17,159.24,221.2,189.55,254.76,235.86,313.15,212.52,451.35,342.17,120.13,394.13,259.72
2024-08-12,191.08,210.18,205.94,395.86,360.86,324.2,98.51,485.47,271.36,318.96,320.38,127.74,136.29,137.88,439.46,119.01,462.62,378.21,451.6,268.76,412.94,372.12,267.65,326.48,140.51,122.62,178.02,138.98,114.58,391.64,265.99,256.43,269.01,154.35,370.15,361.19,110.49,163.22,105.25,504.15,418.93,304.57,506.25,209.84,358.84,338.36,46.21,263.47,46.52,384.08,521.55,76.61,195.52,283.62,363.96,110.85,107.63,521.67,341.46,122.11,281.33,242.25,243.75,405.04,340.53,320.88,192.99,323.19,115.41,200.04,204.81,94.48,243.15,377.3,238.65,393.86,60.07,179.63,426.25,162.49,264.13,57.15,538.28,431.65,377.68,104.42,213.6,443.82,142.89,160.14,222.48,189.59,259.76,235.58,310.77,214.05,436.62,349.19,128.77,404.3,268.02
2024-08-13,192.1,212.1,215.46,379.8,370.17,321.05,96.28,474.33,263.65,317.31,316.25,126.22,140.08,138.9,445.3,120.28,461.02,386.87,463.31,270.44,424.16,366.09,262.88,328.32,138.74,121.87,180.62,139.18,110.69,387.17,256.69,258.66,262.88,154.83,375.19,369.11,111.81,165.39,109.59,513.05,417.17,308.07,516.83,211.69,357.33,339.4,45.23,268.66,45.52,368.54,529.87,75.82,190.88,283.15,360.79,106.66,108.2,516.21,344.76,121.81,285.52,250.5,252.62,408.76,336.52,315.1,188.86,322.52,115.52,198.12,209.1,95.49,239.46,375.66,244.6,393.07,61.69,182.64,412.23,156.11,254.71,55.67,555.53,437.09,378.01,107.8,216.6,444.15,144.55,156.0,220.93,190.79,258.06,234.95,325.45,210.74,442.53,346.66,131.72,422.38,272.06
2024-08-14,188.96,210.25,223.08,381.01,370.06,314.64,98.45,458.47,262.63,317.27,329.64,129.31,139.08,138.39,428.81,119.08,467.57,390.13,459.33,275.43,422.93,373.31,273.23,326.26,137.47,126.23,178.15,137.62,111.07,401.81,260.62,261.97,262.51,158.53,383.84,370.34,110.57,170.36,117.17,515.98,415.54,298.69,518.24,209.06,347.53,334.81,44.56,270.22,45.58,366.18,529.2,74.42,189.13,274.23,354.45,103.23,109.41,524.9,351.93,119.88,294.72,252.32,258.42,415.93,331.91,322.92,185.9,324.08,115.22,204.43,205.49,96.93,232.33,375.83,245.03,382.64,61.85,184.86,409.04,156.84,263.69,56.19,586.14,440.95,384.26,107.31,215.64,439.56,144.56,154.84,222.19,185.99,261.82,237.64,332.06,212.05,440.59,354.87,129.93,429.65,278.25
2024-08-15,189.74,199.22,221.02,397.97,369.71,316.88,97.57,469.36,263.06,320.37,326.35,130.59,144.52,139.68,435.02,116.86,464.69,372.26,465.31,277.89,421.78,359.68,264.19,328.33,134.87,124.61,176.07,140.16,111.17,407.76,252.26,260.73,264.23,161.58,376.83,386.25,110.31,170.74,116.48,525.48,431.9,307.39,558.61,209.17,338.37,333.95,45.19,269.36,46.11,366.78,532.78,76.51,188.57,278.83,352.4,102.15,110.41,516.88,350.56,119.92,292.49,254.16,271.66,411.87,336.18,325.0,183.62,322.63,113.08,205.08,202.37,96.27,231.36,371.61,246.33,381.12,61.28,181.92,422.84,155.72,252.69,57.22,573.97,453.81,388.97,102.66,222.97,450.18,147.7,154.42,213.05,190.53,271.9,237.9,334.42,209.8,444.69,360.81,130.75,433.05,284.77
2024-08-16,189.31,199.32,222.56,395.2,371.74,325.92,98.81,445.4,268.45,322.71,328.92,133.08,141.3,136.1,425.88,119.87,467.33,376.72,463.91,274.38,417.24,373.6,268.47,333.51,137.88,124.02,176.1,140.48,111.75,407.29,257.86,257.36,261.97,160.88,379.3,380.86,108.94,165.17,113.34,534.83,435.45,301.98,552.59,206.77,334.31,331.28,44.92,274.89,45.98,384.13,537.55,76.11,189.73,279.31,345.3,103.92,112.49,520.44,346.5,122.31,287.19,263.14,267.8,410.24,341.13,326.97,188.27,325.87,111.98,206.03,206.97,95.98,230.4,368.96,244.77,389.4,61.94,183.01,430.42,151.09,258.35,59.14,563.36,458.67,384.68,103.7,216.95,445.85,150.44,154.75,209.99,193.11,271.52,238.77,337.07,206.52,436.99,370.49,131.88,423.35,281.64
2024-08-19,189.38,199.26,210.87,393.05,369.77,328.88,102.51,423.67,268.14,312.37,329.1,138.04,140.43,135.24,440.8,124.11,460.7,379.8,469.17,276.93,416.27,366.24,263.51,324.11,137.17,121.28,174.34,142.89,110.77,410.14,261.04,260.76,265.87,161.55,378.57,391.21,108.28,165.87,115.65,530.1,440.54,298.92,545.17,207.57,336.37,340.0,45.57,272.29,43.91,376.35,559.81,77.39,187.71,282.43,351.24,104.66,111.67,520.66,340.78,121.99,273.67,264.87,267.32,414.57,326.47,321.87,191.17,322.38,109.77,204.3,211.58,96.97,220.35,371.98,247.59,372.34,61.83,186.54,426.53,153.84,275.04,59.43,555.53,456.43,394.65,104.6,218.12,440.5,149.76,153.62,212.92,190.79,276.76,235.19,326.48,210.89,448.08,375.82,129.34,404.05,279.62
2024-08-20,187.71,201.49,204.25,385.47,356.99,320.79,104.14,429.7,268.3,322.39,332.24,137.97,138.72,131.57,440.53,124.63,441.8,379.92,461.95,277.48,427.18,370.33,266.73,312.42,139.87,118.87,172.19,146.51,113.38,418.52,258.4,255.88,270.84,161.22,371.04,400.63,110.03,169.07,113.39,537.24,422.58,292.04,543.61,210.77,330.41,335.33,47.12,272.33,44.97,374.13,573.93,77.24,186.27,286.61,351.75,105.05,111.84,513.76,343.43,122.05,283.28,271.65,265.93,409.41,324.38,313.44,192.61,324.88,109.61,201.73,214.0,95.76,226.21,368.02,249.92,371.3,60.45,188.61,439.31,157.11,259.75,60.04,575.02,451.14,388.94,101.52,212.4,445.23,147.54,153.88,214.17,188.43,274.09,236.25,315.53,211.6,445.31,394.8,128.3,425.26,278.41
2024-08-21,190.8,198.7,192.55,379.32,365.42,321.16,100.7,448.6,265.3,311.99,338.98,140.65,139.65,127.72,440.43,121.36,444.76,393.44,434.78,273.82,433.74,368.0,268.64,309.06,141.57,117.08,172.92,145.63,111.13,412.93,271.53,250.97,277.78,162.75,371.91,389.57,113.02,170.81,113.23,546.2,415.06,293.01,556.26,209.67,345.96,336.4,46.32,272.7,44.79,368.5,549.95,74.57,179.31,281.54,356.92,106.66,112.04,498.92,353.46,121.11,286.26,274.96,271.68,404.54,326.61,321.32,185.91,328.01,113.12,210.77,219.04,98.31,228.2,368.23,253.35,364.68,61.43,185.39,439.92,157.45,259.85,60.2,561.54,444.78,380.47,102.04,216.01,443.23,147.19,151.77,216.34,189.6,273.3,235.79,314.36,212.13,452.31,376.2,127.43,436.93,276.22
2024-08-22,192.9,208.25,200.7,374.42,361.17,317.29,101.07,442.46,266.75,315.66,340.86,136.4,141.43,127.31,436.51,119.18,449.71,396.13,446.19,266.5,434.62,379.28,279.61,308.74,143.06,113.99,171.85,142.22,107.28,439.13,266.49,248.88,271.77,159.55,357.65,394.05,113.22,168.77,115.32,545.67,426.13,275.32,541.65,215.36,351.07,329.25,46.34,271.89,47.17,369.1,545.34,77.57,175.42,270.32,362.77,104.8,113.69,506.28,355.38,121.67,290.08,263.01,274.07,398.91,318.74,317.77,185.54,331.11,114.58,208.94,224.37,97.58,228.55,369.84,253.46,361.54,61.4,191.93,435.52,160.73,258.77,62.69,572.91,442.48,379.33,101.33,218.82,444.6,150.54,153.91,215.56,185.72,276.79,229.85,332.17,210.97,445.96,389.04,125.74,433.33,280.43
2024-08-23,190.27,202.12,201.83,364.0,367.05,318.28,100.45,454.02,263.07,322.51,327.07,134.96,142.68,128.05,417.91,118.83,444.39,378.85,456.82,278.85,431.12,379.43,277.95,312.21,141.5,115.41,169.82,141.26,108.39,447.28,265.43,247.31,274.99,160.06,355.35,414.24,113.49,167.13,115.44,554.42,436.65,272.81,533.89,215.05,357.16,322.05,47.12,272.63,45.73,372.08,505.76,77.08,177.14,279.0,361.5,105.26,115.06,498.98,362.38,123.7,289.53,267.34,270.54,399.7,322.65,318.16,188.29,328.88,115.6,205.69,223.0,97.87,226.74,372.37,258.02,351.02,61.13,191.26,443.99,158.5,262.81,62.76,559.76,448.07,393.65,100.58,225.12,445.54,150.34,155.5,219.88,190.4,272.01,233.09,337.08,205.48,449.07,398.16,125.72,436.89,277.47
2024-08-26,191.32,199.85,205.72,375.62,357.9,327.05,100.3,455.16,260.49,316.71,332.04,140.62,148.85,131.4,423.72,118.84,431.62,382.84,476.81,275.59,426.4,376.24,279.01,310.06,142.18,118.05,167.96,140.01,108.71,455.81,261.87,244.08,275.95,157.69,366.15,416.2,112.83,158.36,117.95,544.72,446.32,263.02,547.75,217.93,331.31,314.17,47.33,276.22,44.99,369.27,500.93,74.85,182.38,282.51,359.66,105.03,114.79,512.46,374.72,123.2,296.52,274.78,275.5,398.18,336.78,311.04,193.2,328.67,114.34,209.29,215.46,96.16,229.0,369.32,252.06,368.95,61.8,192.85,442.77,158.71,263.07,62.23,578.18,444.47,382.77,100.23,222.67,450.14,145.93,157.29,214.63,183.18,266.79,232.28,331.54,205.92,449.75,399.21,125.11,455.11,288.25
2024-08-27,189.56,200.98,203.95,380.77,366.04,335.7,98.16,463.69,263.89,310.1,330.46,140.38,151.31,131.73,419.85,118.31,425.94,383.01,484.3,279.94,438.44,373.27,282.32,315.78,143.08,119.33,165.61,138.39,109.27,445.96,260.05,249.79,272.06,157.23,372.64,395.98,111.0,160.47,118.99,522.13,435.5,248.91,554.88,222.42,324.77,306.57,45.59,281.11,46.2,360.72,495.08,76.07,179.82,292.29,355.92,104.57,114.91,522.66,365.85,126.7,278.75,270.36,267.4,410.03,330.44,309.13,190.14,335.56,114.47,207.91,213.04,95.19,230.31,371.55,253.76,394.32,61.58,198.58,462.29,162.94,258.43,62.4,574.08,437.38,385.01,101.75,217.71,458.0,145.52,154.36,216.6,187.16,263.47,232.97,338.4,205.15,445.57,414.79,127.72,472.21,296.24
2024-08-28,188.68,201.43,200.29,379.84,372.79,341.21,97.16,440.01,263.06,308.57,330.94,140.57,149.82,132.6,416.42,119.48,419.59,390.76,465.79,277.34,428.92,360.76,279.15,314.58,141.86,117.69,170.95,137.86,108.36,435.48,255.16,246.48,273.72,155.21,359.35,389.63,110.94,152.51,116.23,516.25,437.49,258.65,567.25,222.96,326.09,300.68,45.17,280.82,46.26,345.89,498.98,74.3,184.39,289.98,361.31,103.21,116.38,526.53,361.7,128.43,272.94,266.51,271.69,408.94,333.78,303.64,192.2,337.54,108.77,209.79,202.88,97.58,237.07,370.27,252.78,396.29,60.71,197.46,463.67,161.04,255.45,62.21,622.56,434.41,384.76,102.07,207.15,456.74,148.34,153.18,216.81,188.65,253.83,228.88,335.41,206.15,441.11,404.53,130.39,467.62,292.45
